code,name,description,category,url,public-database
GB-LANI,,,GB,https://www.registers.service.gov.uk/registers/local-authority-nir,True
GB-LAS,,,GB,https://local-authority-sct.register.gov.uk/,True
GB-MPR,,,GB,https://mutuals.fca.org.uk/,True
GB-NHS,,,GB,https://digital.nhs.uk/organisation-data-service,True
GB-NIC,,,GB,http://www.charitycommissionni.org.uk/charity-search/,True
GB-PLA,,,GB,https://principal-local-authority.register.gov.uk/records,True
GB-REV,,,GB,http://www.hmrc.gov.uk/,False
GB-SC,,,GB,http://www.oscr.org.uk/,False
GB-SCOTEDU,,,GB,https://www2.gov.scot/Topics/Statistics/Browse/School-Education/Datasets/contactdetails,True
GB-SHPE,,,GB,https://social-housing-provider-eng.alpha.openregister.org/,True
GB-SRS,,,GB,https://supplierregistration.cabinetoffice.gov.uk/,True
GB-UKPRN,,,GB,https://www.ukrlp.co.uk/,False
GB-WALEDU,,,GB,https://gov.wales/address-list-schools,True
GD-COA,,,GD,https://gov-id-finder.codeforiati.org/countries/GD/,False
GE-COA,,,GE,https://gov-id-finder.codeforiati.org/countries/GE/,False
GE-NAPR,,,GE,https://enreg.reestri.gov.ge/main.php?m=new_index,False
GE-RS,,,GE,http://www.rs.ge/5385,True
GF-COA,,,GF,https://gov-id-finder.codeforiati.org/countries/GF/,False
GG-COA,,,GG,https://gov-id-finder.codeforiati.org/countries/GG/,False
GG-RCE,,,GG,http://www.guernseyregistry.com/,False
GH-COA,,,GH,https://gov-id-finder.codeforiati.org/countries/GH/,True
GH-DSW,,,GH,http://mogcsp.gov.gh/department-of-social-developments/,False
GH-RGD,,,GH,http://rgd.gov.gh/,True
GI-COA,,,GI,https://gov-id-finder.codeforiati.org/countries/GI/,False
GL-COA,,,GL,https://gov-id-finder.codeforiati.org/countries/GL/,False
GM-COA,,,GM,https://gov-id-finder.codeforiati.org/countries/GM/,True
GN-COA,,,GN,https://gov-id-finder.codeforiati.org/countries/GN/,True
GP-COA,,,GP,https://gov-id-finder.codeforiati.org/countries/GP/,False
GQ-COA,,,GQ,https://gov-id-finder.codeforiati.org/countries/GQ/,False
GR-COA,,,GR,https://gov-id-finder.codeforiati.org/countries/GR/,False
GS-COA,,,GS,https://gov-id-finder.codeforiati.org/countries/GS/,False
GT-CISP,,,GT,http://www.minfin.gob.gt/,True
GT-COA,,,GT,https://gov-id-finder.codeforiati.org/countries/GT/,False
GT-NIT,,,GT,https://portal.sat.gob.gt/portal/,True
GT-RPJ,,,GT,https://mingob.gob.gt/mingobsites/repeju/,True
GU-COA,,,GU,https://gov-id-finder.codeforiati.org/countries/GU/,False
GW-COA,,,GW,https://gov-id-finder.codeforiati.org/countries/GW/,True
GY-COA,,,GY,https://gov-id-finder.codeforiati.org/countries/GY/,False
HK-COA,,,HK,https://gov-id-finder.codeforiati.org/countries/HK/,False
HK-CR,,,HK,https://www.icris.cr.gov.hk/csci/,True
HM-COA,,,HM,https://gov-id-finder.codeforiati.org/countries/HM/,False
HN-COA,,,HN,https://gov-id-finder.codeforiati.org/countries/HN/,False
HN-RTN,,,HN,https://sde.gob.hn/registro-tributario-nacional-numerico-rtn/,True
HR-COA,,,HR,https://gov-id-finder.codeforiati.org/countries/HR/,False
HR-MBS,,,HR,https://sudreg.pravosudje.hr/registar,True
HR-OIB,,,HR,https://sudreg.pravosudje.hr/registar/f?p=150:1,True
HT-COA,,,HT,https://gov-id-finder.codeforiati.org/countries/HT/,True
HU-AFA,,,HU,http://www.e-cegjegyzek.hu/?cegkereses,True
HU-COA,,,HU,https://gov-id-finder.codeforiati.org/countries/HU/,False
ID-COA,,,ID,https://gov-id-finder.codeforiati.org/countries/ID/,True
ID-DJP,,,ID,http://ceknpwp.com/,True
ID-KDN,,,ID,http://www.kemendagri.go.id/,False
ID-KHH,,,ID,http://www.kemenkumham.go.id/,False
ID-KLN,,,ID,http://www.kemlu.go.id/,False
ID-PRO,,,ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,False
ID-SMR,,,ID,http://www.smeru.or.id/en,False
IE-CHY,,,IE,https://www.charitiesregulatoryauthority.ie/,False
IE-COA,,,IE,https://gov-id-finder.codeforiati.org/countries/IE/,False
IE-CRO,,,IE,http://www.cro.ie/,False
IL-COA,,,IL,https://gov-id-finder.codeforiati.org/countries/IL/,False
IL-RA,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/apps/Pages/RashamAmutot.aspx,True
IL-ROC,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/units/RashamHachvarot/Pages/default.aspx,True
IM-COA,,,IM,https://gov-id-finder.codeforiati.org/countries/IM/,False
IM-CR,,,IM,https://www.gov.im/categories/business-and-industries/companies-registry,False
IM-GR,,,IM,http://www.gov.im/registries/courts/charities/,True
IN-COA,,,IN,https://gov-id-finder.codeforiati.org/countries/IN/,False
IN-MCA,,,IN,http://www.mca.gov.in/,True
IN-MHA,,,IN,https://fcraonline.nic.in/,False
IO-COA,,,IO,https://gov-id-finder.codeforiati.org/countries/IO/,False
IQ-COA,,,IQ,https://gov-id-finder.codeforiati.org/countries/IQ/,False
IQ-NGO,,,IQ,http://www.ngoao.gov.iq/,False
IR-COA,,,IR,https://gov-id-finder.codeforiati.org/countries/IR/,False
IS-COA,,,IS,https://gov-id-finder.codeforiati.org/countries/IS/,False
IS-KEN,,,IS,https://www.skra.is/,True
IT-CF,,,IT,http://www.registroimprese.it/,True
IT-COA,,,IT,https://gov-id-finder.codeforiati.org/countries/IT/,False
IT-CUUO,,,IT,https://www.indicepa.gov.it/ipa-portale/,True
IT-RI,,,IT,http://www.registroimprese.it/,True
JE-COA,,,JE,https://gov-id-finder.codeforiati.org/countries/JE/,False
JE-FSC,,,JE,http://www.jerseyfsc.org/index.asp,False
JE-JCR,,,JE,https://charitycommissioner.je/,True
JE-OAC,,,JE,http://www.jerseyoverseasaid.org.je/,False
JM-COA,,,JM,https://gov-id-finder.codeforiati.org/countries/JM/,True
JO-CCD,,,JO,http://www.ccd.gov.jo/,True
JO-COA,,,JO,https://gov-id-finder.codeforiati.org/countries/JO/,True
JO-MSD,,,JO,http://www.societies.gov.jo/,True
JP-COA,,,JP,https://gov-id-finder.codeforiati.org/countries/JP/,False
JP-JCN,,,JP,http://www.houjin-bangou.nta.go.jp/,True
KE-COA,,,KE,https://gov-id-finder.codeforiati.org/countries/KE/,True
KE-KRA,,,KE,https://www.kra.go.ke/individual/individual-pin-registration/learn-about-pin/about-pin,False
KE-NCB,,,KE,http://www.ngobureau.or.ke/,False
KE-RCO,,,KE,http://www.attorney-general.go.ke/,False
KE-RSO,,,KE,http://www.attorney-general.go.ke/,False
KG-COA,,,KG,https://gov-id-finder.codeforiati.org/countries/KG/,True
KG-ID,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=204,True
KG-INN,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=205,True
KG-OKPO,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam,True
KG-TIN,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam,True
KH-COA,,,KH,https://gov-id-finder.codeforiati.org/countries/KH/,True
KH-INGO,,,KH,https://www.mfaic.gov.kh/,True
KH-NNGO,,,KH,https://cambodiacounsel.com/ngo-registration/,False
KI-COA,,,KI,https://gov-id-finder.codeforiati.org/countries/KI/,True
KM-COA,,,KM,https://gov-id-finder.codeforiati.org/countries/KM/,False
KN-COA,,,KN,https://gov-id-finder.codeforiati.org/countries/KN/,True
KP-COA,,,KP,https://gov-id-finder.codeforiati.org/countries/KP/,False
KR-BRN,,,KR,http://www.nts.go.kr,True
KR-COA,,,KR,https://gov-id-finder.codeforiati.org/countries/KR/,False
KW-COA,,,KW,https://gov-id-finder.codeforiati.org/countries/KW/,False
KY-COA,,,KY,https://gov-id-finder.codeforiati.org/countries/KY/,False
KZ-BIN,,,KZ,http://kgd.gov.kz/en/services/taxpayer_search/legal_entity,True
KZ-COA,,,KZ,https://gov-id-finder.codeforiati.org/countries/KZ/,False
LA-COA,,,LA,https://gov-id-finder.codeforiati.org/countries/LA/,True
LB-COA,,,LB,https://gov-id-finder.codeforiati.org/countries/LB/,False
